#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"Adobe Spaces Helper","8","300","2203778826240","43802624","19120128","24008","C:\Program Files\Adobe\Adobe Photoshop 2021\Required\Plug-ins\Spaces\Adobe Spaces Helper.exe","Adobe Inc.","0,0625","22.4.0.0","22.4.0.0","Adobe Spaces Helper","Adobe Spaces Helper","Process","8",,"False",,"8688","Microsoft.Win32.SafeHandles.SafeProcessHandle","300","15628",".","0","","System.Diagnostics.ProcessModule (Adobe Spaces Helper.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24008","24008","19120128","19120128","506072","506072","19243008","19243008","43868160","43868160","464928768","2203783151616","True","Normal","19120128","19120128","00:00:00.0468750","Adobe Spaces Helper","65535","True","8","System.Diagnostics.ProcessStartInfo","03.12.2025 13:37:33",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0156250","460603392","2203778826240","False",,,,"43802624","43802624",,
"Adobe Spaces Helper","8","765","2203957485568","67244032","71417856","37472","C:\Program Files\Adobe\Adobe Photoshop 2021\Required\Plug-ins\Spaces\Adobe Spaces Helper.exe","Adobe Inc.","1,125","22.4.0.0","22.4.0.0","Adobe Spaces Helper","Adobe Spaces Helper","Process","8",,"False",,"3992","Microsoft.Win32.SafeHandles.SafeProcessHandle","765","20168",".","0","","System.Diagnostics.ProcessModule (Adobe Spaces Helper.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","37472","37472","71417856","71417856","958536","958536","261390336","261390336","68812800","68812800","816398336","2204134621184","True","Normal","71417856","71417856","00:00:00.5937500","Adobe Spaces Helper","65535","True","8","System.Diagnostics.ProcessStartInfo","03.12.2025 13:37:33",,"System.Diagnostics.ProcessThreadCollection","00:00:01.1250000","00:00:00.5312500","639262720","2203957485568","False",,,,"67244032","67244032",,
"AdobeIPCBroker","8","173","71876608","11354112","2191360","13304","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe","Adobe Inc.","0,015625","7.2.1.38","7.2.1.38","Creative Cloud Interprocess Service","Adobe IPC Broker","Process","8",,"False",,"4024","Microsoft.Win32.SafeHandles.SafeProcessHandle","173","22192",".","0","","System.Diagnostics.ProcessModule (AdobeIPCBroker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13304","13304","2191360","2191360","135912","135912","2400256","2400256","11427840","11427840","75591680","75591680","True","Normal","2191360","2191360","00:00:00","AdobeIPCBroker","65535","True","8","System.Diagnostics.ProcessStartInfo","03.12.2025 13:37:25",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00.0156250","71876608","71876608","False",,,,"11354112","11354112",,
"AggregatorHost","0","239","2203420819456","10993664","4489216","13672","C:\WINDOWS\System32\AggregatorHost.exe","Microsoft Corporation","1,96875","10.0.26100.5074 (WinBuild.160101.0800)","10.0.26100.5074","Microsoft (R) Aggregator Host","Microsoft? Windows? Operating System","Process","8",,"False",,"4040","Microsoft.Win32.SafeHandles.SafeProcessHandle","239","9584",".","0","","System.Diagnostics.ProcessModule (AggregatorHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13672","13672","4489216","4489216","132760","132760","5251072","5251072","22585344","22585344","105078784","2203423301632","True","Normal","4489216","4489216","00:00:00.9062500","AggregatorHost","65535","True","0","System.Diagnostics.ProcessStartInfo","26.11.2025 10:35:28",,"System.Diagnostics.ProcessThreadCollection","00:00:01.9687500","00:00:01.0625000","102596608","2203420819456","False",,,,"10993664","10993664",,
"ai","8","326","2203587051520","42283008","24018944","19584","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Office16\AI\ai.exe","Microsoft Corporation","0,109375","0.20.5.0","0.20.5.0","Artificial Intelligence (AI) Host for the Microsoft? Windows? Operating System and Platform x64.","Artificial Intelligence","Process","8",,"False",,"4052","Microsoft.Win32.SafeHandles.SafeProcessHandle","326","26952",".","0","","System.Diagnostics.ProcessModule (ai.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19584","19584","24018944","24018944","252128","252128","24244224","24244224","42323968","42323968","285609984","2203603832832","True","Normal","24018944","24018944","00:00:00.0312500","ai","65535","True","8","System.Diagnostics.ProcessStartInfo","03.12.2025 14:03:18",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0781250","268828672","2203587051520","False",,,,"42283008","42283008",,
"amdfendrsr","0","156","4392878080","2457600","2805760","10672","C:\WINDOWS\System32\DriverStore\FileRepository\amdfendr.inf_amd64_987f8cede005f427\amdfendrsr.exe","Advanced Micro Devices, Inc.","0,078125","24.10.0.1","24.10.0.1","AMD Crash Defender Service","AMD Crash Defender Service","Process","8",,"False",,"3504","Microsoft.Win32.SafeHandles.SafeProcessHandle","156","3308",".","0","","System.Diagnostics.ProcessModule (amdfendrsr.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10672","10672","2805760","2805760","112360","112360","2895872","2895872","10379264","10379264","110493696","4405460992","True","Normal","2805760","2805760","00:00:00.0156250","amdfendrsr","65535","True","0","System.Diagnostics.ProcessStartInfo","26.11.2025 10:35:18",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00.0625000","97910784","4392878080","False",,,,"2457600","2457600",,
"amdow","8","171","4440485888","2826240","2379776","11840","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\amdow.exe","Advanced Micro Devices, Inc.","0,078125","10,01,01,2026","10,01,01,2026","Radeon Settings: Desktop Overlay","Radeon Settings","Process","8",,"False",,"3380","Microsoft.Win32.SafeHandles.SafeProcessHandle","171","27568",".","0","","System.Diagnostics.ProcessModule (amdow.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11840","11840","2379776","2379776","160816","160816","2502656","2502656","10084352","10084352","146567168","4441534464","True","Normal","2379776","2379776","00:00:00.0468750","amdow","65535","True","8","System.Diagnostics.ProcessStartInfo","03.12.2025 11:33:51",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00.0312500","145518592","4440485888","False",,,,"2826240","2826240",,
"AmdPpkgSvc","0","74","4350480384","823296","835584","5784","C:\WINDOWS\System32\DriverStore\FileRepository\amdppkg.inf_amd64_7bf038ca4e246b90\AmdPpkgSvc.exe","AMD","0","8.0.0.45","8.0.0.45","Manages AMD provisioning packages, including processor and NVMe power management","AMD Provisioning Packages Service","Process","8",,"False",,"8304","Microsoft.Win32.SafeHandles.SafeProcessHandle","74","5432",".","0","","System.Diagnostics.ProcessModule (AmdPpkgSvc.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5784","5784","835584","835584","36576","36576","962560","962560","5459968","5459968","59707392","4354674688","True","Normal","835584","835584","00:00:00","AmdPpkgSvc","65535","True","0","System.Diagnostics.ProcessStartInfo","26.11.2025 10:35:21",,"System.Diagnostics.ProcessThreadCollection","00:00:00","00:00:00","55513088","4350480384","False",,,,"823296","823296",,
"AMDRSServ","8","552","5049262080","31252480","6942720","22624","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\AMDRSServ.exe","Advanced Micro Devices, Inc.","0,828125","10,01,01,2026","10,01,01,2026","Radeon Settings: Host Service","Radeon Settings","Process","8",,"False",,"7284","Microsoft.Win32.SafeHandles.SafeProcessHandle","552","24156",".","0","","System.Diagnostics.ProcessModule (AMDRSServ.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22624","22624","6942720","6942720","1378456","1378456","7802880","7802880","32030720","32030720","763748352","5058715648","True","Normal","6942720","6942720","00:00:00.6718750","AMDRSServ","65535","True","8","System.Diagnostics.ProcessStartInfo","03.12.2025 11:33:50",,"System.Diagnostics.ProcessThreadCollection","00:00:00.8281250","00:00:00.1562500","754294784","5049262080","False",,,,"31252480","31252480",,
"AMDRSSrcExt","8","547","5262311424","111845376","166166528","43432","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\AMDRSSrcExt.exe","Advanced Micro Devices, Inc.","5,859375","10,01,01,2026","10,01,01,2026","Radeon Settings: Source Extension","Radeon Settings","Process","8",,"False",,"4152","Microsoft.Win32.SafeHandles.SafeProcessHandle","547","10772",".","0","","System.Diagnostics.ProcessModule (AMDRSSrcExt.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","43432","43432","166166528","166166528","1394952","1394952","176857088","176857088","114819072","114819072","988131328","5283098624","True","Normal","166166528","166166528","00:00:03.8906250","AMDRSSrcExt","65535","True","8","System.Diagnostics.ProcessStartInfo","03.12.2025 11:33:51",,"System.Diagnostics.ProcessThreadCollection","00:00:05.8593750","00:00:01.9687500","967344128","5262311424","False",,,,"111845376","111845376",,
"ApplicationFrameHost","8","606","2203823841280","62631936","61153280","31360","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","0,21875","10.0.26100.7019 (WinBuild.160101.0800)","10.0.26100.7019","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"7296","Microsoft.Win32.SafeHandles.SafeProcessHandle","606","10672",".","2491144","?????????","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","31360","31360","61153280","61153280","722688","722688","62144512","62144512","64917504","64917504","535076864","2203853299712","True","Normal","61153280","61153280","00:00:00.1093750","ApplicationFrameHost","65535","True","8","System.Diagnostics.ProcessStartInfo","03.12.2025 11:40:39",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2187500","00:00:00.1093750","505618432","2203823841280","False",,,,"62631936","62631936",,
"atieclxx","8","393","4463783936","23109632","5644288","19272","C:\WINDOWS\System32\DriverStore\FileRepository\u0406695.inf_amd64_6133138125e49a58\B406235\atieclxx.exe","AMD","29,5","6.14.11.1290","6.14.11.1290","AMD External Events Client Module","AMD External Events","Process","8",,"False",,"4200","Microsoft.Win32.SafeHandles.SafeProcessHandle","393","27364",".","0","","System.Diagnostics.ProcessModule (atieclxx.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19272","19272","5644288","5644288","252072","252072","6041600","6041600","23126016","23126016","179302400","4474269696","True","Normal","5644288","5644288","00:00:28","atieclxx","65535","True","8","System.Diagnostics.ProcessStartInfo","02.12.2025 21:58:11",,"System.Diagnostics.ProcessThreadCollection","00:00:29.5000000","00:00:01.5000000","168816640","4463783936","False",,,,"23109632","23109632",,
